Company,Rating,Reviews,Service_Type,Headquarters
Exusia,3.2,253,IT Services & Consulting,Pune
Zamil Steel Buildings India,4.0,253,Engineering & Construction,Pune
Goodluck,3.8,253,Iron & Steel,Ghaziabad
PMEA Solar Tech Solutions,4.0,253,Automobile,Nashik
GS Engineering & Construction,3.7,253,Engineering & Construction,Mumbai
Stashfin,4.4,254,FinTech,New Delhi
Archirodon,4.3,253,Engineering & Construction,Mumbai
HyperCITY,4.7,252,Retail,Mumbai
GTL Limited,4.3,252,Hardware & Networking,Pune
Turner Construction,4.0,252,Engineering & Construction,Mumbai
SpanIdea,3.4,252,IT Services & Consulting,Bengaluru
Net Solutions,3.9,253,IT Services & Consulting,Chandigarh
Antara Senior Care,3.1,253,Gurugram +13 other locations,
Matter Motor Works,2.9,253,Automobile,Ahmedabad
Everllence,3.6,252,Industrial Machinery,Chhatrapati Sambhajinagar
Chandigarh Group of Colleges,3.8,252,Education & Training,Chandigarh
Sangam India,3.7,252,Fashion & Textile,Bhilwara
ITW India,3.8,252,Automobile,Pune
Trantor,3.7,252,IT Services & Consulting,Chandigarh
AGIO Pharmaceuticals,3.6,252,Pharma,Pune
GE Aviation,4.0,252,Aviation,Pune
Sika,3.8,252,Chemicals,Mumbai
Mahindra Defence Systems,3.9,252,Defence & Aerospace,Pune
Maruti Ispat And Pipes,3.8,258,Iron & Steel,Hyderabad
NextGen Healthcare,3.7,252,Software Product,Bengaluru
Vserve Ebusiness Solutions,4.3,252,IT Services & Consulting,Coimbatore
Simpson,3.4,251,Auto Components,Chennai
UPS Supply Chain Solutions,3.8,251,Logistics,Pune
Sraco,3.7,251,Engineering & Construction,Dammam
Apollo Pipes,3.9,251,Building Material,Noida
WizKlub,2.9,251,EdTech,Bengaluru
Pacific Cyber Technology,3.7,251,Electronics Manufacturing,Daman
Promea Therapeutics,4.1,251,Medical Equipment,Hyderabad
Jakson Green,4.3,252,Noida +39 other locations,
Naga Limited,3.6,251,Food Processing,Dindigul
Bizcrum Infotech,3.5,251,Internet,New Delhi
Som Autotech,3.9,251,Auto Components,Chhatrapati Sambhajinagar
GMM Pfaudler,3.8,251,Industrial Machinery,Anand
IIT Madras,3.9,251,Education & Training,Chennai
Invertis University,4.7,251,Education & Training,Bareilly
Credera,3.1,252,IT Services & Consulting,Hyderabad
Diamond Beverages,3.1,251,Beverage,Kolkata
Intersoft Data Labs,3.6,250,IT Services & Consulting,Gurugram
RGBSI,3.3,250,Software Product,Bengaluru
Sai Service,3.8,250,Automobile,Mumbai
SA Infrastructure Consultants,3.6,250,Engineering & Construction,Noida
Huntsman International,4.1,250,Chemicals,Mumbai
Stanley Lifestyles,3.9,250,Furniture & Furnishing,Bengaluru
HAL Offshore,4.2,250,Oil & Gas,Mumbai
YES SECURITIES,3.5,250,Investment Banking / Venture Capital / Private Equity,Mumbai
Xtancia Technosoft,4.0,250,Software Product,Chennai
Barista Coffee Company,4.3,250,Hospitality,New Delhi
Madras Engineering Industries,3.7,250,Auto Components,Chennai
Terrier Security Services,4.2,250,Law Enforcement & Security,Bengaluru
Edward Food Research and Analysis Centre,3.8,250,Analytics & KPO,Kolkata
Hindustan Pencils,4.1,250,FMCG,Mumbai
KhataBook,3.5,250,FinTech,Bengaluru
Easyday Club,4.6,249,Retail,New Delhi
Capillary Technologies,3.3,249,Software Product,Bengaluru
Essar Power,4.0,249,Power,Jamnagar
Lenexis Foodworks,3.6,252,Hospitality,Mumbai
Interarch Building Product,4.0,249,Engineering & Construction,Noida
VSynergize Outsourcing,3.0,249,Marketing & Advertising,Pune
Ricoh,4.1,249,IT Services & Consulting,New Delhi
Vision Express,4.0,249,Retail,Bengaluru
Clearpack,4.0,249,Industrial Machinery,Greater Noida
Keller Ground Engineering,4.0,250,Engineering & Construction,Chennai
Raj Petro Specialities,3.8,249,Oil & Gas,Chennai
Skylark Infra Engineering Private Limited,3.8,249,Engineering & Construction,Gurugram
Tatvasoft,3.3,249,IT Services & Consulting,Ahmedabad
Kroll,3.5,249,Financial Services,Mumbai
Futurz Staffing Solutions,3.8,249,Recruitment,Mumbai
Botree Software International,3.4,249,Software Product,Chennai
Suminter India Organics,3.8,249,FMCG,Mumbai
Ventra Health,3.2,249,Analytics & KPO,Chennai
Starmark Software,3.4,249,IT Services & Consulting,Bengaluru
Virohan,3.9,249,Education & Training,Gurugram
Codeyoung,3.9,249,Bengaluru +7 other locations,
The Institute Of Chartered Accountants,3.3,249,Education & Training,New Delhi
CP Plus,3.9,249,Law Enforcement & Security,Y
C. L. GUPTA EXPORTS,4.2,248,Import & Export,Moradabad
The Smart Cube,3.4,248,Management Consulting,Noida
Innova Captab,4.1,249,Pharma,Baddi
Simar Infrastructures,3.7,248,Engineering & Construction,Panipat
Star Engineers India,3.5,249,Auto Components,Pune
IIFL Securities,3.9,248,Financial Services,Mumbai
Xylem Learning,4.2,248,EdTech,Kozhikode
Cross Country Infotech,4.0,248,IT Services & Consulting,Pune
Anand Rathi Global Finance,3.3,249,NBFC,Mumbai
Jindal India Thermal Power,3.8,248,Power,Angul
Sami-Sabinsa Group,3.5,248,Pharma,Bengaluru
Puranik Builders,4.1,248,Real Estate,Mumbai
Kapture CX,3.2,248,Software Product,Bengaluru
L&T Water & Effluent Treatment,4.0,248,Engineering & Construction,Chennai
Pinnacle Industries,3.4,248,Auto Components,Indore
Metro Brands,3.7,248,Fashion & Textile,Mumbai
Little Nap Recliners,4.7,248,Furniture & Furnishing,New Delhi
Dev Information Technology,3.4,249,IT Services & Consulting,Ahmedabad
DAZN,2.6,248,Media & Entertainment,Hyderabad
DM Consultants,1.4,247,Abu Dhabi +16 other locations,
Securens System,3.9,247,Law Enforcement & Security,Mumbai
Safran Engineering Services India,3.1,247,Aviation,Bengaluru
FoodPanda,3.9,247,Internet,Gurugram
CTM India Limited,3.5,247,Industrial Machinery,Chennai
Onkar Infotech,4.0,247,BPO,Gurugram
Formidium Corp,2.8,247,Financial Services,Jaipur
Kaveri Seed Company,4.0,247,Agriculture,Hyderabad
Mfar Constructions,3.8,247,Engineering & Construction,Bengaluru
Net Access India,3.8,247,IT Services & Consulting,Chennai
Experion Developers,4.7,247,Real Estate,Gurugram
Dalmia Bharat Sugar & Industries,4.1,247,Food Processing,Kolhapur
Ecolab,3.4,247,Waste Management,Pune
Entero Healthcare Solutions,4.1,247,Pharma,Mumbai
Zifo RnD Solutions,3.7,247,IT Services & Consulting,Chennai
Organic India,4.3,247,FMCG,Lucknow
RineX,4.0,248,Bengaluru +16 other locations,
Tokai Rubber Auto Parts India,3.4,246,Industrial Machinery,Neemrana
VISA Steel,3.1,246,Iron & Steel,Jajpur
Genzeon (India) Private Limited,3.9,246,IT Services & Consulting,Hyderabad
Sedin Technologies,4.4,247,IT Services & Consulting,Chennai
National Securities Depository,3.5,246,Financial Services,Mumbai
Health & Glow,3.7,246,Beauty & Personal Care,Bengaluru
Coolberg Beverages,3.2,246,Hospitality,Mumbai
National Contracting Company,4.0,246,Engineering & Construction,Chennai
Godrej Capital,3.5,246,Financial Services,Mumbai
Lentra AI,2.7,246,Financial Services,Pune
Billabong High International School,3.7,246,Education & Training,Mumbai
Cryoviva Biotech,3.3,246,Biotechnology,Gurugram
Microchip Technology,3.7,246,Semiconductors,Bengaluru
Netenrich Technologies,3.2,246,Software Product,Hyderabad
Chennai Petroleum Corporation,4.6,245,Oil & Gas,Chennai
VERITY GLOBAL SOLUTIONS,3.5,245,Investment Banking / Venture Capital / Private Equity,Bengaluru
Allianz,4.4,245,Insurance,Thiruvananthapuram
Indutch Composites Technology,3.7,245,Industrial Machinery,Chennai
Tirupati Group,4.1,245,Pharma,Paonta Sahib
NKC Projects,4.0,245,Engineering & Construction,Gurugram
Q Way Technologies,2.9,246,Healthcare,Chennai
Bhavani Industries,3.6,245,Rajkot +17 other locations,
Bekaert Industries,3.9,245,Electrical Equipment,Pune
Acorn Universal Consultancy LLP,4.3,245,BPO,Anand
Grazitti Interactive,3.0,245,IT Services & Consulting,Chandigarh
Klaus IT Solutions,3.3,245,IT Services & Consulting,Bengaluru
Galpha Laboratories,3.7,245,Pharma,Baddi
Upwork,4.3,245,Internet,Bengaluru
Kuwait Oil Company,4.3,245,Oil & Gas,Chennai
La Renon Healthcare,4.2,245,Pharma,Ahmedabad
BoAt,4.3,245,Consumer Electronics & Appliances,Mumbai
Radnik Exports,4.1,244,Fashion & Textile,Noida
Dish Infra Services,3.1,244,Telecom,New Delhi
Bravura Solutions,3.8,244,Software Product,Gurugram
Identifyplus Delivery Services,3.1,245,Logistics,Gurugram
Webtel Electrosoft,3.7,244,IT Services & Consulting,New Delhi
Global Edge Software,3.4,244,Software Product,Bengaluru
Ratna Sagar,3.7,243,Printing & Publishing,New Delhi
AONE OUTSOURCING SOLUTIONS,4.6,244,Financial Services,Ghaziabad
ITI Finance,4.1,244,Financial Services,Mumbai
Programmers.io,3.9,244,IT Services & Consulting,Jaipur
Covalent Laboratories,3.4,244,Pharma,Hyderabad
Toshiba,4.1,244,Industrial Machinery,Bengaluru
Bread Financial,3.7,244,FinTech,Bengaluru
Envestnet Asset Management,4.0,244,Financial Services,Thiruvananthapuram
Miraj Cinemas,3.7,244,Media & Entertainment,Mumbai
Arkade Group,3.9,244,Real Estate,Mumbai
Collman Services,3.7,244,BPO,Chennai
Annova Solutions,3.6,244,Pharma,Indore
Ajay Industrial Corporation,3.4,244,Industrial Machinery,New Delhi
Sales India,4.1,243,Retail,Ahmedabad
ICICI Merchant Service,3.5,243,Banking,Mumbai
Pittie Group,2.9,243,Real Estate,Mumbai
iVenus,4.1,243,Retail,Surat
Corecard Software,3.8,244,FinTech,Bhopal
Q3 Technologies,3.4,243,IT Services & Consulting,Gurugram
Casio India Company,3.2,243,Consumer Electronics & Appliances,New Delhi
Akkodis,3.2,243,IT Services & Consulting,Bengaluru
Vasta Global,3.8,244,Clinical Research,Mumbai
SevenMentor,4.3,243,Education & Training,Pune
Kamineni Hospitals,4.1,243,Healthcare,Hyderabad
The BIM Engineers,4.2,243,Engineering & Construction,Gurugram
Zeelab Pharmacy,3.5,245,Pharma,New Delhi
Narmada Bio Chem,4.8,243,Agro Chemicals,Ahmedabad
Optiemus Electronics,3.6,243,Electronics Manufacturing,Noida
SRM Technologies Pvt.Ltd,3.3,243,IT Services & Consulting,Chennai
Chai Point,3.8,243,Hospitality,Bengaluru
Weikfield Foods,3.4,243,Food Processing,Pune
Sterling and Wilson Renewable Energy,4.1,243,Power,New Delhi
Housejoy,4.2,242,Facility Management Services,Bengaluru
Texas Review,3.9,242,Education & Training,Hyderabad
PIX Transmissions,3.7,242,Petrochemicals,Nagpur
Neon Laboratories,4.0,242,Pharma,Mumbai
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,3.8,243,Government,Hyderabad
Jitm Skills,3.1,242,Education & Training,New Delhi
Alp Consulting,3.8,242,Recruitment,Bengaluru
Galva Decoparts,3.4,242,Chemicals,Vapi
NIELIT,4.1,242,Education & Training,New Delhi
Bull Machines,3.7,243,Engineering & Construction,Coimbatore
Spectrum Consultants,2.4,242,Recruitment,Pune
FEV,3.4,242,Auto Components,Pune
Eversana,3.2,242,Software Product,Pune
GlobusSoft,3.5,241,IT Services & Consulting,Bengaluru
Caliber Technologies,3.1,241,IT Services & Consulting,Hyderabad
BillDesk,3.1,241,FinTech,Mumbai
Barmalt Malting,3.9,241,Food Processing,Gurugram
Vaidik Eduservices,3.3,241,EdTech,Noida
Oasis Partners Asia,3.9,241,Recruitment,Mumbai
Sanjeev Auto Parts Manufacturers,4.1,241,Auto Components,Chhatrapati Sambhajinagar
Allen Solly,3.9,242,Fashion & Textile,Bengaluru
Sterling Hospitals,4.0,241,Healthcare,Ahmedabad
Regalo Kitchens,3.5,241,Architecture & Interior Design,New Delhi
Nova IVI Fertility,3.9,242,Healthcare,Bengaluru
Boston Institute of Analytics,4.3,241,Education & Training,Mumbai
QualiZeal,4.0,241,IT Services & Consulting,Hyderabad
SK E&C,4.4,242,Engineering & Construction,Mumbai
Income Tax Department India,4.3,241,Government,New Delhi
Kanpur Plastipack,3.6,241,Packaging,Kanpur
Smc Insurance Brokers,3.4,241,Insurance,New Delhi
Vakilsearch,3.1,241,Legal,Chennai
Prabhat Dairy,3.7,241,FMCG,Mumbai
Nineleaps Technology Solutions,4.3,241,IT Services & Consulting,Bengaluru
Avontix,3.4,241,IT Services & Consulting,Hyderabad
United Alliance Technology,4.9,241,IT Services & Consulting,Pune
CyberSWIFT Infotech,3.6,240,IT Services & Consulting,Kolkata
NBCC,3.9,240,Real Estate,New Delhi
Live Connections,3.8,240,Recruitment,Chennai
Fortune Park Hotels,4.0,240,Hospitality,Ahmedabad
University of Petroleum & Energy Studies,3.7,240,Education & Training,Dehradun
VGN Projects Estates,3.8,240,Real Estate,Chennai
Dhandhania Infotech,3.3,240,IT Services & Consulting,Nagpur
Renata Precision Components,3.4,240,Industrial Machinery,Pune
Filatex India,3.6,240,Fashion & Textile,Bharuch
HMSHost,3.8,240,FMCG,Bengaluru
Amara Raja Power Systems,4.3,240,Auto Components,Tirupati
Epicor Software Corporation,2.9,240,IT Services & Consulting,Bengaluru
Crown Solutions,3.7,240,IT Services & Consulting,Chennai
Pearl Global Industries,3.8,240,Fashion & Textile,Gurugram
Placementindia.com,4.9,240,Recruitment,New Delhi
Shalimar Corp,4.3,240,Real Estate,Lucknow
Accentuate Business Solutions,3.6,240,IT Services & Consulting,Bengaluru
Innoval Digital Solutions,4.7,239,Software Product,Thiruvananthapuram
Kwality Pharmaceuticals,3.9,239,Pharma,Amritsar
11:11 Systems,3.4,239,IT Services & Consulting,Pune
National Petroleum Construction Company,4.4,239,Oil & Gas,Abu Dhabi
Manubhai Jewellers,4.7,239,Jewellery,Mumbai
Hofincons Infotech & Industrial Services,4.0,239,Industrial Machinery,Chennai
Shaw Toyota,4.9,239,Automobile,Pune
Kharafi National,4.3,239,Engineering & Construction,Chennai
Javi Systems,3.6,239,IT Services & Consulting,Gurugram
The New India Assurance Co.,4.4,239,Insurance,Mumbai
Ammann Apollo,4.1,239,Industrial Machinery,Ahmedabad
Learning Links Foundation,4.1,240,Non-Profit,New Delhi
Bonito Designs,3.5,239,Architecture & Interior Design,Bengaluru
Ileads Auxiliary Services,3.0,239,BPO,Dehradun
American Oncology Institute,4.1,239,Healthcare,Hyderabad
Indo German Tool Room,4.0,239,Government,Chhatrapati Sambhajinagar
WPIL,3.4,239,Building Material,Kolkata
Rustomjee Group,4.0,239,Real Estate,Mumbai
OASYS Cybernetics,3.0,240,IT Services & Consulting,Chennai
Greenway Health,3.0,239,IT Services & Consulting,Bengaluru
Med Manor Organics,3.7,239,Pharma,Hyderabad
Nagata India,3.8,239,Metals & Mining,Gurugram
ILS Hospitals,3.6,239,Healthcare,Kolkata
Montra Electric,3.7,239,Automobile,Chennai
Kapston Services,4.0,239,Recruitment,Hyderabad
Bajel Projects,4.2,239,Engineering & Construction,Mumbai
Rajan Technocast,4.7,239,Industrial Machinery,Rajkot
Radius Global Solutions,2.8,239,BPO,Mumbai
Agrim,3.3,239,Agriculture,Gurugram
Arun Excello,3.8,239,Engineering & Construction,Chennai
Nordex India,3.8,239,Internet,Chennai
Tide - Business Management Platform,3.7,238,FinTech,Hyderabad
Karanwal Capital,4.6,238,Investment Banking / Venture Capital / Private Equity,Mumbai
Carnival Cinemas,3.7,238,Media & Entertainment,Mumbai
inMorphis Services,4.0,238,IT Services & Consulting,Noida
Infosearch BPO Services,4.1,238,BPO,Chennai
MQSYS Technologies,3.6,238,IT Services & Consulting,Chennai
Sewa Grih Rin,3.4,238,NBFC,New Delhi
Chandan Steel,3.4,238,Metals & Mining,Umbergaon
Government of West Bengal,3.5,238,Government,Kolkata
EY-Parthenon,3.0,238,Bengaluru +13 other locations,
Expertrons,3.6,238,Education & Training,Mumbai
S Chand Group,3.6,238,Printing & Publishing,New Delhi
Airblack,4.0,238,EdTech,Gurugram
Pharmaceutical job,4.2,239,Pharma,Mumbai
SkillRecruit,4.4,238,Recruitment,Hyderabad
Grb Dairy Foods,3.5,238,Food Processing,Hosur
Arkray Healthcare,3.4,238,Healthcare,Surat
NCL BUILDTEK,3.5,238,Building Material,Hyderabad
Tesseract Imaging,4.0,237,Navi Mumbai +5 other locations,
Linfox Logistics,4.1,237,Urban Transport,Chennai
The Sparks Foundation,4.3,238,Education & Training,Mumbai
Marathon Realty,3.9,237,Real Estate,Mumbai
Neudesic Technologies,4.1,237,IT Services & Consulting,Bengaluru
20Cube Logistics,3.7,237,Logistics,Chennai
National Insurance Company,4.6,238,Insurance,Kolkata
JAY JAY MILLS,4.0,238,Fashion & Textile,Erode
bebo Technologies,3.4,237,IT Services & Consulting,Chandigarh
Sanoh,4.1,237,Auto Components,Gurugram
Linc,3.5,237,FMCG,Kolkata
SMS Pharmaceuticals,3.1,237,Pharma,Hyderabad
Alembic,3.9,237,Pharma,Vadodara
CPM International,3.9,238,Recruitment,New Delhi
SLAP,3.9,237,Management Consulting,Anantapur
Bihar Foundry and Castings Limited,4.4,238,Industrial Machinery,Ramngarh
Skechers,4.1,237,Retail,Mumbai
Naprod Life Sciences,3.4,237,Pharma,Mumbai
Shankaranarayana Constructions,3.8,238,Engineering & Construction,Bengaluru
Vara United,3.7,237,IT Services & Consulting,Hyderabad
St. John's Medical College Hospital,4.1,236,Healthcare,Bengaluru
Evonith Value Steels,4.2,236,Iron & Steel,Wardha
Indiabulls Real Estate,4.4,236,Real Estate,Mumbai
Omprime Technology Private Limited,4.1,236,IT Services & Consulting,Gurugram
Box8,3.5,237,Hospitality,Bengaluru
Freedom Employability Academy,4.1,236,Education & Training,New Delhi
Linux Laboratories,4.0,236,Pharma,Chennai
Six Phrase,3.7,239,Coimbatore +14 other locations,
National Small Industries Corporation,4.0,236,Government,New Delhi
Franco-Indian Pharmaceuticals,3.3,236,Pharma,Mumbai
Scc Infrastructure,3.9,236,Engineering & Construction,Ahmedabad
RSH Global,4.1,236,FMCG,Kolkata
Dr B Lal Clinical Laboratory,4.4,236,Healthcare,Jaipur
Intuit,3.3,236,IT Services & Consulting,Bengaluru
VRC Constructions India,3.8,236,Engineering & Construction,New Delhi
Magnasoft Consulting India,3.2,236,IT Services & Consulting,Bengaluru
AT&S,3.6,236,Semiconductors,Mysuru
Geetanjali Medical College and Hospital,4.0,237,Healthcare,Udaipur
Sugam Parivahan,4.2,236,Logistics,Noida
Rajasthan Patrika,3.2,235,Broadcasting,Jaipur
Koyo Bearings India,3.9,235,Auto Components,Rewari
Premier Indoplast,4.1,236,Faridabad +20 other locations,
Sears Holdings,3.0,235,Retail,Pune
WEG,4.2,235,Electronics Manufacturing,Hosur
Aditya Birla Money,3.9,235,Chennai +44 other locations,
Azim Premji Foundation,3.8,235,Non-Profit,Bengaluru
S&IB Services,3.9,236,Facility Management Services,Kolkata
Student Life,4.0,235,Non-Profit,Kolkata
Kobelco Construction Equipment India,4.2,236,Industrial Machinery,Chennai
Sarda Energy & Minerals,4.0,235,Iron & Steel,Raipur
Parason Machinery,3.3,235,Industrial Machinery,Chhatrapati Sambhajinagar
Parle Elizabeth Tools,3.9,235,Industrial Machinery,Ahmedabad
Atibir Industries,3.1,236,Iron & Steel,Giridih
Prompt Personnel,3.8,235,Recruitment,Mumbai
Selectsys,3.5,235,Software Product,Hyderabad
Ginger Hotels,3.9,235,Hospitality,Mumbai
Jaipur National University,3.0,235,Education & Training,Jaipur
APM Terminals,4.4,235,Ports & Shipping,Mumbai
Lubi Industries Llp,4.1,236,Industrial Machinery,Ahmedabad
AGILE AIRPORT SERVICES,3.9,235,Aviation,New Delhi
Harita Techserv,3.3,235,Recruitment,Bengaluru
Airtel Africa,3.0,235,Telecom,Gurugram
Groupe SEB,3.4,235,Consumer Electronics & Appliances,New Delhi
NMDC Steels,3.9,237,Iron & Steel,Jagdalpur
Victora Industries,3.7,235,Auto Components,Faridabad
Zones Corporate Solutions,3.2,236,IT Services & Consulting,Bengaluru
Infoesearch Ites,3.2,234,Media & Entertainment,Hyderabad
LUX Industries,3.3,234,Fashion & Textile,Kolkata
Autometers Alliance,4.3,235,Electronics Manufacturing,Noida
ADARSH DEVELOPERS,4.3,234,Real Estate,Bengaluru
Mvs Acmei Technologies,3.9,234,Industrial Machinery,Hyderabad
BPL Medical Technologies,3.4,234,Medical Equipment,Bengaluru
Sneha Farms,4.0,235,Agriculture,Hyderabad
Advantum Health,2.9,234,Healthcare,Hyderabad
Sears IT & Management Services India,3.1,234,IT Services & Consulting,Pune
Shorthills AI,3.6,234,Emerging Technologies,Gurugram
Rasna,3.3,234,Food Processing,Ahmedabad
Impressico Business Solutions,4.4,234,IT Services & Consulting,Noida
AABSyS IT,3.2,235,IT Services & Consulting,Bhubaneswar
iD Fresh Food,4.1,234,FMCG,Bengaluru
M.J Global,3.9,234,Packaging,Noida
Impact Analytics,3.9,234,IT Services & Consulting,Bengaluru
Cyrix Health Care,4.3,234,Medical Equipment,Lucknow
Ajmera Realty & Infra India,4.6,235,Real Estate,Mumbai
Finorchem Limited,3.7,234,Petrochemicals,Ankleshwar
Cube Highways,4.3,234,Engineering & Construction,Noida
Veltris,3.6,234,IT Services & Consulting,Hyderabad
Aziro,3.5,235,IT Services & Consulting,Chennai
Paradise Food Court,3.7,234,Hospitality,Hyderabad
Copart,3.1,234,Automobile,Hyderabad
Tecnotree Convergence,3.1,235,IT Services & Consulting,Bengaluru
Fusion,3.1,234,IT Services & Consulting,Kolkata
MASAI School,4.2,234,EdTech,Bengaluru
Shiva Pharmachem,3.8,234,Pharma,Vadodara
Arvato,3.7,233,IT Services & Consulting,Gurugram
JPM Group,3.8,233,Industrial Machinery,Gurugram
Verzeo,2.7,233,EdTech,Bengaluru
"Sanjay Ghodawat International School, Kolhapur",3.5,233,Education & Training,Kolhapur
Pure & Cure Healthcare,4.1,233,Pharma,Haridwar
Focus Energy,3.5,233,Oil & Gas,Jaisalmer
Red Bull,4.1,233,Beverage,Mumbai
Pontika Aerotech,3.6,233,Pharma,Paonta Sahib
SEO Discovery,4.9,235,Financial Services,Sahibzada Ajit Singh Nagar
Advids,4.4,233,Marketing & Advertising,Pune
Precision Group,3.5,233,Industrial Machinery,Chennai
Asian Institute of Medical Sciences,3.9,233,Faridabad +12 other locations,
Garware Hi-Tech Films,4.0,233,Packaging,Chhatrapati Sambhajinagar
Pearl Precision Products,3.8,234,Building Material,Noida
Excellon Software,4.3,234,Software Product,Pune
Kumaran Systems,3.5,233,IT Services & Consulting,Chennai
Kalyani Maxion Wheels,4.1,233,Auto Components,Pune
Uniinfo Telecom Services,3.4,233,Telecom,Indore
IMSI,3.1,233,Recruitment,Mumbai
Brij Gopal Construction Company,3.9,233,Engineering & Construction,New Delhi
Radio Mirchi,3.3,233,Broadcasting,Mumbai
GLA University,3.6,233,Education & Training,Mathura
Albert David,3.5,234,Pharma,Kolkata
Echs Polyclinic,4.1,233,Healthcare,New Delhi
Balasore Alloys,3.0,235,Metals & Mining,Balasore
RASI SEEDS,4.1,232,Agriculture,Hyderabad
LawSikho,3.8,232,New Delhi +9 other locations,
Svatantra Micro Housing Finance Corporation Limited,3.9,232,Financial Services,Mumbai
Schott Poonawalla,3.7,233,Packaging,Vadodara
Umedica Laboratories,3.6,232,Pharma,Vapi
Sand Martin Consultants,2.9,234,BPO,New Delhi
MUNDRA SOLAR TECHNOPARK,3.7,232,Industrial Machinery,Mundra
Little Millennium,3.8,232,EdTech,Pune
Essae Digitronics,4.1,232,Electronics Manufacturing,Bengaluru
Valueonshore Advisors,3.8,232,Management Consulting,Gurugram
SUGAR Cosmetics,3.8,232,Internet,Mumbai
HEG,3.8,232,Semiconductors,Bhopal
Balaji Enterprises,4.4,232,Real Estate,New Delhi
Andhra Paper,3.5,232,Pulp & Paper,Rajamahendravaram
Excelra Knowledge Solutions,3.4,232,Analytics & KPO,Hyderabad
Bondada Engineering,3.5,232,Engineering & Construction,Hyderabad
Chaitanya Projects Consultancy,4.0,232,Financial Services,Noida
PIT Solutions,3.7,232,IT Services & Consulting,Thiruvananthapuram
Paychex IT Solutions India,3.3,232,Software Product,Bengaluru
Xchanging,4.1,231,IT Services & Consulting,Bengaluru
Bombay Rayon Fashions,3.2,231,Fashion & Textile,Mumbai
Ga Digital Web Word,3.6,231,IT Services & Consulting,New Delhi
The Indian Express,4.0,231,Printing & Publishing,Noida
SunMax Auto Engineering,3.5,231,Auto Components,Gurugram
Fresher Than Fresh,4.0,231,Retail,Hyderabad
LinkedIn,4.0,231,Internet,Bengaluru
IVTL Infoview Technologies,3.6,231,IT Services & Consulting,Chennai
Changepond Technologies,3.0,231,IT Services & Consulting,Chennai
TravelTriangle,3.5,231,Travel & Tourism,Gurugram
Maral Overseas,3.6,231,Fashion & Textile,Noida
Sun Vacuum Formers,3.8,231,Auto Components,Gurugram
Aachi Foods,4.0,231,FMCG,Chennai
Itvedant Education,3.7,231,Education & Training,Mumbai
Neolite Zkw Lightings,3.9,231,Auto Components,Bahadurgarh
KNR Constructions,4.0,230,Engineering & Construction,Hyderabad
Raheja Developers,3.0,230,Real Estate,Gurugram
Flex Technologies,3.9,231,Chennai +10 other locations,
Jaypee Hotels,3.8,230,Hospitality,New Delhi
Scania,3.6,230,Auto Components,Bengaluru
Army Ordnance Corps,4.8,230,Defence & Aerospace,New Delhi
Trivitron Healthcare,3.3,230,Medical Equipment,Chennai
Games24x7,3.9,230,Gaming,Bengaluru
Qi Spine Clinic,3.7,232,Healthcare,Mumbai
Touchstone Educationals,3.2,231,Education & Training,Chandigarh
Reecomps Teleservices,3.7,230,Telecom,Mumbai
Stratosphere IT Services,3.0,230,Recruitment,Hyderabad
Matrix ComSec,3.6,230,Law Enforcement & Security,Vadodara
MaRS Planning & Engineering Services,3.7,230,Engineering & Construction,Ahmedabad
VHS Consulting,3.8,230,IT Services & Consulting,Bengaluru
Consilio,3.6,230,Legal,Bengaluru
Save the Children,4.4,230,Non-Profit,Gurugram
Z1 Tech,4.1,230,Internet,Gurugram
Link Group,3.7,230,Financial Services,Mumbai
Centillion Solutions and Services,3.9,231,IT Services & Consulting,Bengaluru
FarEye,3.3,230,IT Services & Consulting,Noida
Flash Viven Machining Technologies,3.6,230,Auto Components,Pune
Teerthanker Mahaveer University,3.4,230,Education & Training,Moradabad
Gem Engserv,4.0,229,Engineering & Construction,Mumbai
Ncc Urban Infrastructure,4.1,229,Engineering & Construction,Hyderabad
Sonovision-Aetos,3.5,229,IT Services & Consulting,Bengaluru
BluSmart,3.8,229,Urban Transport,Gurugram
Coffee Day,3.0,229,Hospitality,Bengaluru
Reliance Home Finance,4.0,229,NBFC,Mumbai
Broker Network,2.4,229,Internet,Mumbai
Helmerich & Payne,3.7,229,Oil & Gas,Bengaluru
Orange Mantra,3.6,229,IT Services & Consulting,Gurugram
Veolia,3.9,229,Waste Management,Bengaluru
Verifone,3.1,229,FinTech,Bengaluru
Patton International,3.6,230,Iron & Steel,Kolkata
Zydus Hospira Oncology,4.1,229,Pharma,Ahmedabad
Mining Engineering Services,3.7,229,Metals & Mining,Vadodara
Bsr Infratech India,3.8,230,Engineering & Construction,Bengaluru
John Crane Sealing Systems India,3.4,229,Industrial Machinery,Bengaluru
Lifelong India,3.9,229,Petrochemicals,Gurugram
Neogen Chemicals,4.0,229,Chemicals,Bharuch
Megafine Pharma,3.8,228,Pharma,Nashik
United India Insurance Company,4.4,228,Insurance,Chennai
Zinnov Management Consulting,3.2,228,Management Consulting,Bengaluru
Augtech Nextwealth,3.7,228,IT Services & Consulting,Bhilai Nagar
Om Innovation Call Services,3.6,228,BPO,New Delhi
Innoplexus,4.2,228,IT Services & Consulting,Pune
RegisterKaro,3.4,228,Internet,Gurugram
TRF,3.5,228,Auto Components,Jamshedpur
